Text,class,label
"কিছু লিখলে বাসায় বিচার যাবে, ছেলে পর্ন সাইটে ঘুরাঘুরি করে।",Celebrity,Sexual
"মেয়েটার পেট কত্ত সুন্দর, কোনো চর্বি নাই",Celebrity,Sexual
এত পচা ছবি দেওয়ার কি দরকার?,Celebrity,dishonour
"নিজের পুরুষত্ত প্রমাণ করার জন্য, খেলার মাঠে নেমেছে অামাদের সালমান ভাই।",Celebrity,Sexual
তোর পাছায় করোনা ভ্যাকসিন দিয়া লাগবে বুঝতেছি,Celebrity,Incursive
হাজার হাজার হেডামারানীর ক্রাশের এই কি আবস্থা,Celebrity,Sexual
"পদ্না সেতুর একটা পিলারের দাম অনেক, না হলে তার গোয়া দিয়ে ভরে দিতাম",Celebrity,Incursive
ভাই জাংগিয়া কোন ব্র্যান্ড এর?,Celebrity,dishonour
আহা.. এই শীতের রাতে আবার গোসল করবো!!!??,Celebrity,Sexual
ভাই ফটোগ্রাফার কি হুশে ছিল?? আমি বলতে চাচ্ছিলাম আর কি সে নিশ্চয়ই একটা নোবেল ডিসার্ভ করে। এই সিচুয়েশন মেইনটেইন করে পিক তুলছে।ব্রাভো ব্রাভো,Celebrity,Sexual
ছবিগুলো দেখছি আর বারবার হতাশ চোখে নিজের হাতটার দিকে তাকাচ্ছি।,Celebrity,Sexual
খানকির পোলা পর্ন মুভিতে নাম লিখা,Celebrity,Incursive
এখন কিছু বালপাকনা মাইয়ারা আইসা বলবে উফফফ বেবি কি লাগছে,Celebrity,Sexual
"আমার ছোটভাই,এই ফটোশুটের জন্য আরেকটু হাই কোয়ালিটির মডেল দরকার ছিল,আর তাছাড়া মেয়েটার প্যান্ট ও খুব লো কোয়ালিটি",Celebrity,dishonour
আহারে অসহায় গরীব ছেলেমেয়েরা এই শীত এ বস্রহারা,Celebrity,dishonour
আহারে সোনাগো!!! তোমার শীত করে না,Celebrity,Sexual
প্রতিটি ছবিতে আপুর শ্বাস নিতে কষ্ট হয়েছিল!আর মানবদরদী সালমান ভাই তার শরীর উজাড় করে দিয়েছেন সাহায্য করার জন্য! হায়রে মানবচো*ন!,Celebrity,Sexual
তোমায় খুব হর্নি লাগছে সালমান,Celebrity,Sexual
"কাপড় খুলে ফটোশ্যুট করে কি নিজের প্রোমোট করাচ্ছেন? ""আসো সখী খেলবো তোমার সাথে৷"" এরকম ইঙ্গিত? পর্নস্টারদের মতো নিজেদের প্রোমোট করাচ্ছেন মনে হলো আরকি",Celebrity,Sexual
এত চিকেন কোথায় পাও ভাইয়া????,Celebrity,dishonour
